"x","y"
1.77190930862763,228.426990192262
2.45400194332862,200.150551568012
3.01862450576755,180.807341535937
2.55226122969397,223.173274610575
2.02658893232153,227.956512700051
2.58674094896219,209.46576355404
1.98566234097537,190.5616991528
2.04347285081937,208.306193988392
2.71994977024979,194.648359354804
1.80540656027951,200.028668081769
2.70310987220456,189.512871155135
2.58899494115508,214.82005633849
2.97678530646494,191.708195628422
3.11664087387966,187.191928150753
2.23272676592929,216.328339159589
2.0361669367015,213.365241934399
2.67376849716901,209.994910927724
2.29946616865617,233.096710400324
